email,name,company,role,location,lead_score,phone,source
facilities110@sandtoncommercialproperties.co.za,Facilities Director - Sandton Financial Towers 110,Sandton Financial Towers 110,Head of Facilities & Operations,Sandton CBD,87,+27 11 910 6730,South African Property Owners Association (SAPOA)
facilities111@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Commercial Office Park 111,Rosebank Commercial Office Park 111,Head of Facilities & Operations,Rosebank Oxford Parks,88,+27 11 911 6773,South African Property Owners Association (SAPOA)
facilities112@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Corporate Campus 112,Waterfall Corporate Campus 112,Head of Facilities & Operations,Waterfall City,89,+27 11 912 6816,South African Property Owners Association (SAPOA)
facilities113@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Medical Centre Suites 113,Bryanston Medical Centre Suites 113,Head of Facilities & Operations,Bryanston Main Rd,90,+27 11 913 6859,South African Property Owners Association (SAPOA)
facilities114@menlyncommercialproperties.co.za,Facilities Director - Menlyn Law Chambers 114,Menlyn Law Chambers 114,Head of Facilities & Operations,Menlyn Maine Pretoria,91,+27 11 914 6902,South African Property Owners Association (SAPOA)
facilities115@centurioncommercialproperties.co.za,Facilities Director - Centurion Executive Business Centre 115,Centurion Executive Business Centre 115,Head of Facilities & Operations,Centurion Commercial,92,+27 11 915 6945,South African Property Owners Association (SAPOA)
facilities116@fourwayscommercialproperties.co.za,Facilities Director - Fourways A-Grade Business Park 116,Fourways A-Grade Business Park 116,Head of Facilities & Operations,Fourways Office Node,93,+27 11 916 6988,South African Property Owners Association (SAPOA)
facilities117@randburgcommercialproperties.co.za,Facilities Director - Randburg Technology Hub 117,Randburg Technology Hub 117,Head of Facilities & Operations,Randburg Commercial,94,+27 11 917 7031,South African Property Owners Association (SAPOA)
facilities118@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Commercial Asset Management 118,Woodmead Commercial Asset Management 118,Head of Facilities & Operations,Woodmead Business Park,95,+27 11 918 7074,South African Property Owners Association (SAPOA)
facilities119@illovocommercialproperties.co.za,Facilities Director - Illovo Corporate Innovation Center 119,Illovo Corporate Innovation Center 119,Head of Facilities & Operations,Illovo Boulevard,96,+27 11 919 7117,South African Property Owners Association (SAPOA)
facilities120@sandtoncommercialproperties.co.za,Facilities Director - Sandton Property Portfolio Group 120,Sandton Property Portfolio Group 120,Head of Facilities & Operations,Sandton CBD,82,+27 11 920 7160,South African Property Owners Association (SAPOA)
facilities121@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Financial Towers 121,Rosebank Financial Towers 121,Head of Facilities & Operations,Rosebank Oxford Parks,83,+27 11 921 7203,South African Property Owners Association (SAPOA)
facilities122@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Commercial Office Park 122,Waterfall Commercial Office Park 122,Head of Facilities & Operations,Waterfall City,84,+27 11 922 7246,South African Property Owners Association (SAPOA)
facilities123@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Corporate Campus 123,Bryanston Corporate Campus 123,Head of Facilities & Operations,Bryanston Main Rd,85,+27 11 923 7289,South African Property Owners Association (SAPOA)
facilities124@menlyncommercialproperties.co.za,Facilities Director - Menlyn Medical Centre Suites 124,Menlyn Medical Centre Suites 124,Head of Facilities & Operations,Menlyn Maine Pretoria,86,+27 11 924 7332,South African Property Owners Association (SAPOA)
facilities125@centurioncommercialproperties.co.za,Facilities Director - Centurion Law Chambers 125,Centurion Law Chambers 125,Head of Facilities & Operations,Centurion Commercial,87,+27 11 925 7375,South African Property Owners Association (SAPOA)
facilities126@fourwayscommercialproperties.co.za,Facilities Director - Fourways Executive Business Centre 126,Fourways Executive Business Centre 126,Head of Facilities & Operations,Fourways Office Node,88,+27 11 926 7418,South African Property Owners Association (SAPOA)
facilities127@randburgcommercialproperties.co.za,Facilities Director - Randburg A-Grade Business Park 127,Randburg A-Grade Business Park 127,Head of Facilities & Operations,Randburg Commercial,89,+27 11 927 7461,South African Property Owners Association (SAPOA)
facilities128@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Technology Hub 128,Woodmead Technology Hub 128,Head of Facilities & Operations,Woodmead Business Park,90,+27 11 928 7504,South African Property Owners Association (SAPOA)
facilities129@illovocommercialproperties.co.za,Facilities Director - Illovo Commercial Asset Management 129,Illovo Commercial Asset Management 129,Head of Facilities & Operations,Illovo Boulevard,91,+27 11 929 7547,South African Property Owners Association (SAPOA)
facilities130@sandtoncommercialproperties.co.za,Facilities Director - Sandton Corporate Innovation Center 130,Sandton Corporate Innovation Center 130,Head of Facilities & Operations,Sandton CBD,92,+27 11 930 7590,South African Property Owners Association (SAPOA)
facilities131@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Property Portfolio Group 131,Rosebank Property Portfolio Group 131,Head of Facilities & Operations,Rosebank Oxford Parks,93,+27 11 931 7633,South African Property Owners Association (SAPOA)
facilities132@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Financial Towers 132,Waterfall Financial Towers 132,Head of Facilities & Operations,Waterfall City,94,+27 11 932 7676,South African Property Owners Association (SAPOA)
facilities133@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Commercial Office Park 133,Bryanston Commercial Office Park 133,Head of Facilities & Operations,Bryanston Main Rd,95,+27 11 933 7719,South African Property Owners Association (SAPOA)
facilities134@menlyncommercialproperties.co.za,Facilities Director - Menlyn Corporate Campus 134,Menlyn Corporate Campus 134,Head of Facilities & Operations,Menlyn Maine Pretoria,96,+27 11 934 7762,South African Property Owners Association (SAPOA)
facilities135@centurioncommercialproperties.co.za,Facilities Director - Centurion Medical Centre Suites 135,Centurion Medical Centre Suites 135,Head of Facilities & Operations,Centurion Commercial,82,+27 11 935 7805,South African Property Owners Association (SAPOA)
facilities136@fourwayscommercialproperties.co.za,Facilities Director - Fourways Law Chambers 136,Fourways Law Chambers 136,Head of Facilities & Operations,Fourways Office Node,83,+27 11 936 7848,South African Property Owners Association (SAPOA)
facilities137@randburgcommercialproperties.co.za,Facilities Director - Randburg Executive Business Centre 137,Randburg Executive Business Centre 137,Head of Facilities & Operations,Randburg Commercial,84,+27 11 937 7891,South African Property Owners Association (SAPOA)
facilities138@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead A-Grade Business Park 138,Woodmead A-Grade Business Park 138,Head of Facilities & Operations,Woodmead Business Park,85,+27 11 938 7934,South African Property Owners Association (SAPOA)
facilities139@illovocommercialproperties.co.za,Facilities Director - Illovo Technology Hub 139,Illovo Technology Hub 139,Head of Facilities & Operations,Illovo Boulevard,86,+27 11 939 7977,South African Property Owners Association (SAPOA)
facilities140@sandtoncommercialproperties.co.za,Facilities Director - Sandton Commercial Asset Management 140,Sandton Commercial Asset Management 140,Head of Facilities & Operations,Sandton CBD,87,+27 11 940 8020,South African Property Owners Association (SAPOA)
facilities141@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Corporate Innovation Center 141,Rosebank Corporate Innovation Center 141,Head of Facilities & Operations,Rosebank Oxford Parks,88,+27 11 941 8063,South African Property Owners Association (SAPOA)
facilities142@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Property Portfolio Group 142,Waterfall Property Portfolio Group 142,Head of Facilities & Operations,Waterfall City,89,+27 11 942 8106,South African Property Owners Association (SAPOA)
facilities143@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Financial Towers 143,Bryanston Financial Towers 143,Head of Facilities & Operations,Bryanston Main Rd,90,+27 11 943 8149,South African Property Owners Association (SAPOA)
facilities144@menlyncommercialproperties.co.za,Facilities Director - Menlyn Commercial Office Park 144,Menlyn Commercial Office Park 144,Head of Facilities & Operations,Menlyn Maine Pretoria,91,+27 11 944 8192,South African Property Owners Association (SAPOA)
facilities145@centurioncommercialproperties.co.za,Facilities Director - Centurion Corporate Campus 145,Centurion Corporate Campus 145,Head of Facilities & Operations,Centurion Commercial,92,+27 11 945 8235,South African Property Owners Association (SAPOA)
facilities146@fourwayscommercialproperties.co.za,Facilities Director - Fourways Medical Centre Suites 146,Fourways Medical Centre Suites 146,Head of Facilities & Operations,Fourways Office Node,93,+27 11 946 8278,South African Property Owners Association (SAPOA)
facilities147@randburgcommercialproperties.co.za,Facilities Director - Randburg Law Chambers 147,Randburg Law Chambers 147,Head of Facilities & Operations,Randburg Commercial,94,+27 11 947 8321,South African Property Owners Association (SAPOA)
facilities148@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Executive Business Centre 148,Woodmead Executive Business Centre 148,Head of Facilities & Operations,Woodmead Business Park,95,+27 11 948 8364,South African Property Owners Association (SAPOA)
facilities149@illovocommercialproperties.co.za,Facilities Director - Illovo A-Grade Business Park 149,Illovo A-Grade Business Park 149,Head of Facilities & Operations,Illovo Boulevard,96,+27 11 949 8407,South African Property Owners Association (SAPOA)
facilities150@sandtoncommercialproperties.co.za,Facilities Director - Sandton Technology Hub 150,Sandton Technology Hub 150,Head of Facilities & Operations,Sandton CBD,82,+27 11 950 8450,South African Property Owners Association (SAPOA)
facilities151@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Commercial Asset Management 151,Rosebank Commercial Asset Management 151,Head of Facilities & Operations,Rosebank Oxford Parks,83,+27 11 951 8493,South African Property Owners Association (SAPOA)
facilities152@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Corporate Innovation Center 152,Waterfall Corporate Innovation Center 152,Head of Facilities & Operations,Waterfall City,84,+27 11 952 8536,South African Property Owners Association (SAPOA)
facilities153@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Property Portfolio Group 153,Bryanston Property Portfolio Group 153,Head of Facilities & Operations,Bryanston Main Rd,85,+27 11 953 8579,South African Property Owners Association (SAPOA)
facilities154@menlyncommercialproperties.co.za,Facilities Director - Menlyn Financial Towers 154,Menlyn Financial Towers 154,Head of Facilities & Operations,Menlyn Maine Pretoria,86,+27 11 954 8622,South African Property Owners Association (SAPOA)
facilities155@centurioncommercialproperties.co.za,Facilities Director - Centurion Commercial Office Park 155,Centurion Commercial Office Park 155,Head of Facilities & Operations,Centurion Commercial,87,+27 11 955 8665,South African Property Owners Association (SAPOA)
facilities156@fourwayscommercialproperties.co.za,Facilities Director - Fourways Corporate Campus 156,Fourways Corporate Campus 156,Head of Facilities & Operations,Fourways Office Node,88,+27 11 956 8708,South African Property Owners Association (SAPOA)
facilities157@randburgcommercialproperties.co.za,Facilities Director - Randburg Medical Centre Suites 157,Randburg Medical Centre Suites 157,Head of Facilities & Operations,Randburg Commercial,89,+27 11 957 8751,South African Property Owners Association (SAPOA)
facilities158@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Law Chambers 158,Woodmead Law Chambers 158,Head of Facilities & Operations,Woodmead Business Park,90,+27 11 958 8794,South African Property Owners Association (SAPOA)
facilities159@illovocommercialproperties.co.za,Facilities Director - Illovo Executive Business Centre 159,Illovo Executive Business Centre 159,Head of Facilities & Operations,Illovo Boulevard,91,+27 11 959 8837,South African Property Owners Association (SAPOA)
facilities160@sandtoncommercialproperties.co.za,Facilities Director - Sandton A-Grade Business Park 160,Sandton A-Grade Business Park 160,Head of Facilities & Operations,Sandton CBD,92,+27 11 960 8880,South African Property Owners Association (SAPOA)
facilities161@rosebankcommercialproperties.co.za,Facilities Director - Rosebank Technology Hub 161,Rosebank Technology Hub 161,Head of Facilities & Operations,Rosebank Oxford Parks,93,+27 11 961 8923,South African Property Owners Association (SAPOA)
facilities162@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Commercial Asset Management 162,Waterfall Commercial Asset Management 162,Head of Facilities & Operations,Waterfall City,94,+27 11 962 8966,South African Property Owners Association (SAPOA)
facilities163@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Corporate Innovation Center 163,Bryanston Corporate Innovation Center 163,Head of Facilities & Operations,Bryanston Main Rd,95,+27 11 963 9009,South African Property Owners Association (SAPOA)
facilities164@menlyncommercialproperties.co.za,Facilities Director - Menlyn Property Portfolio Group 164,Menlyn Property Portfolio Group 164,Head of Facilities & Operations,Menlyn Maine Pretoria,96,+27 11 964 9052,South African Property Owners Association (SAPOA)
facilities165@centurioncommercialproperties.co.za,Facilities Director - Centurion Financial Towers 165,Centurion Financial Towers 165,Head of Facilities & Operations,Centurion Commercial,82,+27 11 965 9095,South African Property Owners Association (SAPOA)
facilities166@fourwayscommercialproperties.co.za,Facilities Director - Fourways Commercial Office Park 166,Fourways Commercial Office Park 166,Head of Facilities & Operations,Fourways Office Node,83,+27 11 966 9138,South African Property Owners Association (SAPOA)
facilities167@randburgcommercialproperties.co.za,Facilities Director - Randburg Corporate Campus 167,Randburg Corporate Campus 167,Head of Facilities & Operations,Randburg Commercial,84,+27 11 967 9181,South African Property Owners Association (SAPOA)
facilities168@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Medical Centre Suites 168,Woodmead Medical Centre Suites 168,Head of Facilities & Operations,Woodmead Business Park,85,+27 11 968 9224,South African Property Owners Association (SAPOA)
facilities169@illovocommercialproperties.co.za,Facilities Director - Illovo Law Chambers 169,Illovo Law Chambers 169,Head of Facilities & Operations,Illovo Boulevard,86,+27 11 969 9267,South African Property Owners Association (SAPOA)
facilities170@sandtoncommercialproperties.co.za,Facilities Director - Sandton Executive Business Centre 170,Sandton Executive Business Centre 170,Head of Facilities & Operations,Sandton CBD,87,+27 11 970 9310,South African Property Owners Association (SAPOA)
facilities171@rosebankcommercialproperties.co.za,Facilities Director - Rosebank A-Grade Business Park 171,Rosebank A-Grade Business Park 171,Head of Facilities & Operations,Rosebank Oxford Parks,88,+27 11 971 9353,South African Property Owners Association (SAPOA)
facilities172@waterfallcommercialproperties.co.za,Facilities Director - Waterfall Technology Hub 172,Waterfall Technology Hub 172,Head of Facilities & Operations,Waterfall City,89,+27 11 972 9396,South African Property Owners Association (SAPOA)
facilities173@bryanstoncommercialproperties.co.za,Facilities Director - Bryanston Commercial Asset Management 173,Bryanston Commercial Asset Management 173,Head of Facilities & Operations,Bryanston Main Rd,90,+27 11 973 9439,South African Property Owners Association (SAPOA)
facilities174@menlyncommercialproperties.co.za,Facilities Director - Menlyn Corporate Innovation Center 174,Menlyn Corporate Innovation Center 174,Head of Facilities & Operations,Menlyn Maine Pretoria,91,+27 11 974 9482,South African Property Owners Association (SAPOA)
facilities175@centurioncommercialproperties.co.za,Facilities Director - Centurion Property Portfolio Group 175,Centurion Property Portfolio Group 175,Head of Facilities & Operations,Centurion Commercial,92,+27 11 975 9525,South African Property Owners Association (SAPOA)
facilities176@fourwayscommercialproperties.co.za,Facilities Director - Fourways Financial Towers 176,Fourways Financial Towers 176,Head of Facilities & Operations,Fourways Office Node,93,+27 11 976 9568,South African Property Owners Association (SAPOA)
facilities177@randburgcommercialproperties.co.za,Facilities Director - Randburg Commercial Office Park 177,Randburg Commercial Office Park 177,Head of Facilities & Operations,Randburg Commercial,94,+27 11 977 9611,South African Property Owners Association (SAPOA)
facilities178@woodmeadcommercialproperties.co.za,Facilities Director - Woodmead Corporate Campus 178,Woodmead Corporate Campus 178,Head of Facilities & Operations,Woodmead Business Park,95,+27 11 978 9654,South African Property Owners Association (SAPOA)
facilities179@illovocommercialproperties.co.za,Facilities Director - Illovo Medical Centre Suites 179,Illovo Medical Centre Suites 179,Head of Facilities & Operations,Illovo Boulevard,96,+27 11 979 9697,South African Property Owners Association (SAPOA)
facilities180@sandtoncommercialproperties.co.za,Facilities Director - Sandton Law Chambers 180,Sandton Law Chambers 180,Head of Facilities & Operations,Sandton CBD,82,+27 11 980 9740,South African Property Owners Association (SAPOA)
